"1.2. Halálozások száma nemek és korcsoportok szerint, hetente",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Év,A hét,,,Férfi ,,,,,,,,,,,,,,Nő ,,,,,,,,,,,,,,Összesen,,,,,,,,,,,,,
,sor-száma,kezdő napja, záró napja,0–34,35–39,40–44,45–49,50–54,55–59,60–64,65–69,70–74,75–79,80–84,85–89,90+,Összesen,0–34,35–39,40–44,45–49,50–54,55–59,60–64,65–69,70–74,75–79,80–84,85–89,90+,Összesen,0–34,35–39,40–44,45–49,50–54,55–59,60–64,65–69,70–74,75–79,80–84,85–89,90+,Összesen
,,,,éves,,,,,,,,,,,,,,éves,,,,,,,,,,,,,,éves,,,,,,,,,,,,,
,36.,2016/ szeptember 5.,2016/ szeptember 11.,21,8,19,31,59,79,160,151,144,147,116,110,55,"1,100",9,7,6,12,21,34,86,72,116,174,188,228,193,"1,146",30,15,25,43,80,113,246,223,260,321,304,338,248,"2,246"
,37.,2016/ szeptember 12.,2016/ szeptember 18.,27,8,22,31,62,95,148,159,171,136,143,120,56,"1,178",10,2,11,16,19,66,79,84,119,171,228,207,175,"1,187",37,10,33,47,81,161,227,243,290,307,371,327,231,"2,365"
,38.,2016/ szeptember 19.,2016/ szeptember 25.,29,8,20,34,58,91,148,148,138,136,140,108,54,"1,112",8,8,9,7,13,47,67,87,108,153,233,217,194,"1,151",37,16,29,41,71,138,215,235,246,289,373,325,248,"2,263"
,39.,2016/ szeptember 26.,2016/ október 2.,24,8,24,32,57,108,145,150,171,155,138,139,61,"1,212",9,3,11,13,25,58,83,84,114,181,217,228,185,"1,211",33,11,35,45,82,166,228,234,285,336,355,367,246,"2,423"
,40.,2016/ október 3.,2016/ október 9.,23,12,27,34,48,91,172,179,144,166,140,115,73,"1,224",12,11,4,15,27,31,73,111,118,181,218,237,185,"1,223",35,23,31,49,75,122,245,290,262,347,358,352,258,"2,447"
,41.,2016/ október 10.,2016/ október 16.,17,11,12,33,54,104,144,186,155,172,171,125,77,"1,261",9,3,8,18,35,40,91,99,117,172,227,242,216,"1,277",26,14,20,51,89,144,235,285,272,344,398,367,293,"2,538"
,42.,2016/ október 17.,2016/ október 23.,21,12,12,31,46,87,155,162,164,159,147,127,79,"1,202",7,8,8,14,22,52,96,98,123,181,245,246,191,"1,291",28,20,20,45,68,139,251,260,287,340,392,373,270,"2,493"
,43.,2016/ október 24.,2016/ október 30.,17,5,17,30,52,81,136,165,168,158,167,118,79,"1,193",9,4,7,12,41,58,69,93,140,155,260,270,216,"1,334",26,9,24,42,93,139,205,258,308,313,427,388,295,"2,527"
,44.,2016/ október 31.,2016/ november 6.,12,11,17,30,52,105,159,174,158,164,153,119,85,"1,239",4,7,8,16,29,50,78,97,107,164,237,234,188,"1,219",16,18,25,46,81,155,237,271,265,328,390,353,273,"2,458"
,45.,2016/ november 7.,2016/ november 13.,13,14,19,32,52,89,150,174,143,142,175,119,70,"1,192",13,5,8,17,25,42,88,115,122,179,241,246,178,"1,279",26,19,27,49,77,131,238,289,265,321,416,365,248,"2,471"
